overview:
char correction f1:	72.889
char correction p:	82.485
char correction r:	65.213
char detection f1:	77.308
char detection p:	87.688
char detection r:	69.389
sentence correction f1:	70.228
sentence correction p:	79.265
sentence correction r:	63.94
sentence detection f1:	74.735
sentence detection p:	84.352
sentence detection r:	67.086
sentence fpr:	5.499

bad cases:
原始: 当中性颗粒细胞低于0.5x109l,就会被称之为粒细胞缺乏,建议这个时候先明确病因,积极的采取治疗。
正确: 当中性颗粒细胞低于0.5x109l,就会被称之为粒细胞缺乏,建议这个时候先明确病因,积极【地】采取治疗。
预测: 当中性颗粒细胞低于0.5x109l,就会被称之为粒细胞缺乏,建议这个时候先明确病因,积极的采取治疗。
错误类型: 漏纠

原始: 厨房开放式的收纳考验的是一个人的审美,lokki不亏是设计师,对美学的追求完美的体现在家里厨房收纳用餐中的娃帮忙烹饪的娃客厅和厨房一体,这是全家人活动的中心,lokki可以一遍烹饪一边兼顾玩耍的孩子,孩子也能从小就能感受母亲的辛苦和忙碌。
正确: 厨房开放式的收纳考验的是一个人的审美,lokki不亏是设计师,对美学的追求完美的体现在家里厨房收纳用餐中的娃帮忙烹饪的娃客厅和厨房一体,这是全家人活动的中心,lokki可以一【边】烹饪一边兼顾玩耍的孩子,孩子也能从小就能感受母亲的辛苦和忙碌。
预测: 厨房开放式的收纳考验的是一个人的审美,lokki不【愧】是设计师,对美学的追求完美的体现在家里厨房收纳用餐中的娃帮忙烹饪的娃客厅和厨房一体,这是全家人活动的中心,lokki可以一【边】烹饪一边兼顾玩耍的孩子,孩子也能从小就能感受母亲的辛苦和忙碌。
错误类型: 综合

原始: 几天来的没日没夜的看球,太累了,意对澳的中场休息时想闭眼眯一下,突然我被一阵狂吼惊醒!
正确: 几天来的没日没夜【地】看球,太累了,意对澳的中场休息时想闭眼眯一下,突然我被一阵狂吼惊醒!
预测: 几天来的没日没夜【地】看球,太累了,意对澳的中场休息时想闭眼眯一下,突然我被一阵狂吼惊醒!
错误类型: 正确

原始: 一段路上成功的自信;
正确: 一段路上成功的自信;
预测: 一段路上成功的自信;
错误类型: 正确

原始: 当他第一次踏上帝都的时候,他想大声的呼唤,"帝都,我来了"。
正确: 当他第一次踏上帝都的时候,他想大声【地】呼唤,"帝都,我来了"。
预测: 当他第一次踏上帝都的时候,他想大声【地】呼唤,"帝都,我来了"。
错误类型: 正确

原始: 警示带字体颜色般为白色和红色。
正确: 警示带字体颜色【分】为白色和红色。
预测: 警示带字体颜色【一】般为白色和红色。
错误类型: 综合

原始: 同样被害的家破人亡,同样后期黑化,与润玉不同的是,燕洵的早期更为幸福,毕竟有公主的偏爱,而润玉什么都没有,孑然一身。
正确: 同样被害【得】家破人亡,同样后期黑化,与润玉不同的是,燕洵的早期更为幸福,毕竟有公主的偏爱,而润玉什么都没有,孑然一身。
预测: 同样被害的家破人亡,同样后期黑化,与润玉不同的是,燕洵的早期更为幸福,毕竟有公主的偏爱,而润玉什么都没有,孑然一身。
错误类型: 漏纠

原始: 雪人堆成了,和老师同学来张合影吧,这就是我们的成果。
正确: 雪人堆成了,和老师同学来张合影吧,这就是我们的成果。
预测: 雪人堆成了,和老师同学来张合影吧,这就是我们的成果。
错误类型: 正确

原始: 一、别以为在学生会你能得到你曾经想要得。
正确: 一、别以为在学生会你能得到你曾经想要【的】。
预测: 一、别以为在学生会你能得到你曾经想要【的】。
错误类型: 正确

原始: 维持婚姻最重要的就是双方承担起家庭、对方的责任,责任感是一个人在社会中打拼、在生活中相处必不可少的品质,一个真正有责任感的人会很好的束缚自己,做好自己的本职工作,不会时常逾矩,很值得交往。
正确: 维持婚姻最重要的就是双方承担起家庭、对方的责任,责任感是一个人在社会中打拼、在生活中相处必不可少的品质,一个真正有责任感的人会很好【地】束缚自己,做好自己的本职工作,不会时常逾矩,很值得交往。
预测: 维持婚姻最重要的就是双方承担起家庭、对方的责任,责任感是一个人在社会中打拼、在生活中相处必不可少的品质,一个真正有责任感的人会很好【地】束缚自己,做好自己的本职工作,不会时常逾矩,很值得交往。
错误类型: 正确

原始: 越南市场,越南市场复杂,实际批下来的项目及其有限,但远低于市场上的项目容量,无法判断项目的真实性,需要着重考虑。
正确: 越南市场,越南市场复杂,实际批下来的项目【极】其有限,但远低于市场上的项目容量,无法判断项目的真实性,需要着重考虑。
预测: 越南市场,越南市场复杂,实际批下来的项目【极】其有限,但远低于市场上的项目容量,无法判断项目的真实性,需要着重考虑。
错误类型: 正确

原始: 在印度女子看来,成套的佩戴才够正宗。
正确: 在印度女子看来,成套的佩戴才够正宗。
预测: 在印度女子看来,成套的佩戴才够正宗。
错误类型: 正确

原始: 后来,暴雪发现这些卡牌强大的万金油效果,为了平衡游戏性,这些卡牌分别受到不同程度的削弱,从此一蹶不起,很难看到这些卡牌出现在天梯之中。
正确: 后来,暴雪发现这些卡牌强大的万金油效果,为了平衡游戏性,这些卡牌分别受到不同程度的削弱,从此一蹶不起,很难看到这些卡牌出现在天梯之中。
预测: 后来,暴雪发现这些卡牌强大的万金油效果,为了平衡游戏性,这些卡牌分别受到不同程度的削弱,从此一蹶不起,很难看到这些卡牌出现在天梯之中。
错误类型: 正确

原始: 上述数据状况令投资者颇感困惑,因此之后的美联储官员讲话就受到了更为密切的关注。
正确: 上述数据状况令投资者颇感困惑,因此之后的美联储官员讲话就受到了更为密切【地】关注。
预测: 上述数据状况令投资者颇感困惑,因此之后的美联储官员讲话就受到了更为密切的关注。
错误类型: 漏纠

原始: 细心的计算每个周期天数,在手机日历里贴心的设置提醒,刚开始总是不太准,会有几天的误差,他都会标注,哪一天是预估的,哪一天是真正的,然后他会再继续分析我觉得没啥好分析的数据,但现在快一年了,他已经可以很精确的预估到我是哪一天来大姨妈,甚至上下午都能算到。
正确: 细心的计算每个周期天数,在手机日历里贴心的设置提醒,刚开始总是不太准,会有几天的误差,他都会标注,哪一天是预估的,哪一天是真正的,然后他会再继续分析我觉得没啥好分析的数据,但现在快一年了,他已经可以很精确【地】预估到我是哪一天来大姨妈,甚至上下午都能算到。
预测: 细心【地】计算每个周期天数,在手机日历里贴心【地】设置提醒,刚开始总是不太准,会有几天的误差,他都会标注,哪一天是预估的,哪一天是真正的,然后他会再继续分析我觉得没啥好分析的数据,但现在快一年了,他已经可以很精确【地】预估到我是哪一天来大姨妈,甚至上下午都能算到。
错误类型: 综合

原始: 俄美两国近年来多次相互指责对方违反条约。
正确: 俄美两国近年来多次相互指责对方违反条约。
预测: 俄美两国近年来多次相互指责对方违反条约。
错误类型: 正确

原始: 她说:"美联储无意减慢经济增长速度,并将继续对快速行动持相当审慎的取态。
正确: 她说:"美联储无意减慢经济增长速度,并将继续对快速行动持相当审慎的【姿】态。
预测: 她说:"美联储无意减慢经济增长速度,并将继续对快速行动持相当审慎的取态。
错误类型: 漏纠

原始: 锑:与砷能使银手饰变成砖红色,对皮肤有放射性损伤。
正确: 锑:与砷能使银【首】饰变成砖红色,对皮肤有放射性损伤。
预测: 锑:与砷能使银【首】饰变成砖红色,对皮肤有放射性损伤。
错误类型: 正确

原始: 改革30年,开放30年。
正确: 改革30年,开放30年。
预测: 改革30年,开放30年。
错误类型: 正确

原始: 在视频里,德普多次打砸厨房的橱柜。
正确: 在视频里,德普多次打砸厨房的橱柜。
预测: 在视频里,德普多次打砸厨房的橱柜。
错误类型: 正确

原始: 今天给大家的方向是以短多为主,上方的空间不要看的太多,点位可以在291.2附近买入,止损设在290.5,上方目标上看293附近,个人观点,仅供参考。
正确: 今天给大家的方向是以短多为主,上方的空间不要看【得】太多,点位可以在291.2附近买入,止损设在290.5,上方目标上看293附近,个人观点,仅供参考。
预测: 今天给大家的方向是以短多为主,上方的空间不要看【得】太多,点位可以在291.2附近买入,止损设在290.5,上方目标上看293附近,个人观点,仅供参考。
错误类型: 正确

原始: 而辅助刘青松则是坚定的选择了锤石作为冠军皮肤,大家也非常好奇其他人的选择,doinb表示自己本来想要选亚索的,但是在世界赛上没有玩过亚索,所以自己还不确定。
正确: 而辅助刘青松则是坚定【地】选择了锤石作为冠军皮肤,大家也非常好奇其他人的选择,doinb表示自己本来想要选亚索的,但是在世界赛上没有玩过亚索,所以自己还不确定。
预测: 而辅助刘青松则是坚定【地】选择了锤石作为冠军皮肤,大家也非常好奇其他人的选择,doinb表示自己本来想要选亚索的,但是在世界赛上没有玩过亚索,所以自己还不确定。
错误类型: 正确

原始: 严重者可出现一过性意识丧失、晕厥、抽搐;
正确: 严重者可出现一【次】性意识丧失、晕厥、抽搐;
预测: 严重者可出现一过性意识丧失、晕厥、抽搐;
错误类型: 漏纠

原始: 时而瞪大眼珠与猫咪表情一致,惊悚味弥漫;
正确: 时而瞪大眼珠与猫咪表情一致,惊悚味弥漫;
预测: 时而瞪大眼珠与猫咪表情一致,惊悚味弥漫;
错误类型: 正确

原始: 解决办法:其实不用刻意理会这种问题,因为车辆冷启动时有汽油味很正常。
正确: 解决办法:其实不用刻意理会这种问题,因为车辆冷启动时有汽油味很正常。
预测: 解决办法:其实不用刻意理会这种问题,因为车辆冷启动时有汽油味很正常。
错误类型: 正确

原始: 未来,三星手机要想在中国重新崛起已经越来越难。
正确: 未来,三星手机要想在中国重新崛起已经越来越难。
预测: 未来,三星手机要想在中国重新崛起已经越来越难。
错误类型: 正确

原始: 对一个网友来说,游戏中的装备获取、任务活动都存在官方的设计引导,如果只是单纯的依靠奖励来吸引玩家,自然后续便会感觉是否乏味。
正确: 对一个网友来说,游戏中的装备获取、任务活动都存在官方的设计引导,如果只是单纯【地】依靠奖励来吸引玩家,自然后续便会感觉是否乏味。
预测: 对一个网友来说,游戏中的装备获取、任务活动都存在官方的设计引导,如果只是单纯的依靠奖励来吸引玩家,自然后续便会感觉是否乏味。
错误类型: 漏纠

原始: 这个中国小孩头顶上的四条小辫子就像避雷针。
正确: 这个中国小孩头顶上的四条小辫子就像避雷针。
预测: 这个中国小孩头顶上的四条小辫子就像避雷针。
错误类型: 正确

原始: 2018春夏中国国际时装周,胡军女儿九九,马艳丽女儿马沁歌同台走秀。
正确: 2018春夏中国国际时装周,胡军女儿九九,马艳丽女儿马沁歌同台走秀。
预测: 2018春夏中国国际时装周,胡军女儿九九,马艳丽女儿马沁歌同台走秀。
错误类型: 正确

原始: 根据小编的步骤,借助互盾数据恢复软件可以很好的找回电脑中被删的重要文件。
正确: 根据小编的步骤,借助互盾数据恢复软件可以很好【地】找回电脑中被删的重要文件。
预测: 根据小编的步骤,借助互盾数据恢复软件可以很好的找回电脑中被删【除】的重要文件。
错误类型: 综合

原始: 随着人们生活水平的提高和人口老龄化问题的加剧,临终患者的数量越来越多,他们的健康成为人们关注的焦点,如何对待这些临终患者成为好多学者争相研究的问题,他们迫切的希望找到一种可以为临终患者带来希望的办法。
正确: 随着人们生活水平的提高和人口老龄化问题的加剧,临终患者的数量越来越多,他们的健康成为人们关注的焦点,如何对待这些临终患者成为好多学者争相研究的问题,他们迫切【地】希望找到一种可以为临终患者带来希望的办法。
预测: 随着人们生活水平的提高和人口老龄化问题的加剧,临终患者的数量越来越多,他们的健康成为人们关注的焦点,如何对待这些临终患者成为好多学者争相研究的问题,他们迫切【地】希望找到一种可以为临终患者带来希望的办法。
错误类型: 正确

